id,section,route,source_file,context,ru_text,kk_proposed,review_status,notes
G-001,GLOBAL,(все страницы),src/lib/config/site.ts,"Бренд сайта (логотип, заголовки, Open Graph)",MS Стеллажи,MS Стеллаждар,NEEDS_REVIEW,
G-002,GLOBAL,(все страницы),src/lib/config/site.ts,"Юридическое лицо продавца (футер, оферта, политика, JSON-LD)","ИП ""ГИДРОПРОЕКТ""","ИП ""ГИДРОПРОЕКТ""",NEEDS_REVIEW,НЕ ПЕРЕВОДИТЬ — юридическое наименование
G-003,GLOBAL,(все страницы),src/lib/config/site.ts,Слоган бренда,Модульные металлические стеллажи,Модульдік металл стеллаждар,NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
G-004,GLOBAL,(все страницы),src/lib/config/site.ts; src/app/layout.tsx; src/components/layout/Footer.tsx,"Краткое описание компании: футер, meta description, Open Graph","Модульные металлические стеллажи MS для склада, архива, гаража и офиса. Конфигуратор с мгновенным расчётом цены. Доставка по Казахстану.","Қоймаға, мұрағатқа, гаражға және кеңсеге арналған MS модульдік металл стеллаждары. Бағаны бірден есептейтін конфигуратор. Қазақстан бойынша жеткізу.",NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
G-005,GLOBAL,"/contacts, /privacy, /terms, футер",src/lib/config/site.ts,Почтовый адрес компании,"г. Астана, ул. А. Иманова, 19","Астана қ., А. Иманов көшесі, 19",NEEDS_REVIEW,Проверить официальное написание улицы на казахском
G-006,GLOBAL,"(JSON-LD, адрес)",src/lib/config/site.ts,Город в структурированных данных и адресе,Астана,Астана,NEEDS_REVIEW,
G-007,GLOBAL,"/contacts, футер, главная",src/lib/config/site.ts,Режим работы,Пн–Пт 09:00–18:00,Дс–Жм 09:00–18:00,NEEDS_REVIEW,
G-008,GLOBAL,(все страницы),src/lib/money.ts,"Суффикс размера в миллиметрах: ""2000 мм""",мм,мм,NEEDS_REVIEW,Динамически: `${число} мм`
G-009,GLOBAL,/catalog/[model],src/lib/money.ts,"Суффикс массы: ""12,5 кг""",кг,кг,NEEDS_REVIEW,Динамически: `${число} кг`
G-010,GLOBAL,(все страницы),src/lib/money.ts,"Символ валюты в цене: ""125 000 ₸""",₸,₸,NEEDS_REVIEW,НЕ ПЕРЕВОДИТЬ — символ валюты
G-011,GLOBAL,"/catalog, /cart",src/lib/plural.ts,Число полок с русским согласованием: 1 полка / 2 полки / 5 полок,{N} полка / {N} полки / {N} полок,{N} сөре,NEEDS_REVIEW,"ДИНАМИЧЕСКАЯ СТРОКА: в казахском числовое согласование не требуется — одна форма ""{N} сөре"". Правило множественного числа нужно будет отключить для kk"
H-001,HEADER,(все страницы),src/components/layout/Header.tsx,aria-label основной навигации в шапке,Основная навигация,Негізгі мәзір,NEEDS_REVIEW,
H-002,HEADER,(все страницы),src/lib/config/site.ts,Пункт меню (шапка и футер),Каталог,Каталог,NEEDS_REVIEW,"В site.ts уже есть labelKk: ""Каталог"""
H-003,HEADER,(все страницы),src/lib/config/site.ts,Пункт меню (шапка и футер),Конфигуратор,Конфигуратор,NEEDS_REVIEW,"В site.ts уже есть labelKk: ""Конфигуратор"""
H-004,HEADER,(все страницы),src/lib/config/site.ts,Пункт меню в шапке,Доставка и оплата,Жеткізу және төлем,NEEDS_REVIEW,В site.ts уже есть labelKk
H-005,HEADER,(все страницы),src/lib/config/site.ts,Пункт меню (шапка и футер),Контакты,Байланыс,NEEDS_REVIEW,"В site.ts уже есть labelKk: ""Байланыс"""
H-006,HEADER,(все страницы),src/components/layout/Header.tsx; src/components/layout/WhatsAppFloatingButton.tsx,aria-label кнопки WhatsApp в шапке и плавающей кнопки,Написать в WhatsApp,WhatsApp арқылы жазу,NEEDS_REVIEW,
H-007,HEADER,(все страницы),src/components/layout/Header.tsx,aria-label иконки корзины,Корзина,Себет,NEEDS_REVIEW,
H-008,HEADER,(все страницы),src/components/layout/Header.tsx,Кнопка-CTA в шапке (десктоп),Конфигурировать,Конфигурациялау,NEEDS_REVIEW,
H-009,HEADER,(все страницы),src/components/layout/Header.tsx,"aria-label кнопки меню, когда меню закрыто",Открыть меню,Мәзірді ашу,NEEDS_REVIEW,
H-010,HEADER,(все страницы),src/components/layout/Header.tsx,"aria-label кнопки меню, когда меню открыто",Закрыть меню,Мәзірді жабу,NEEDS_REVIEW,
H-011,HEADER,(все страницы),src/components/layout/Header.tsx,aria-label мобильного меню,Мобильная навигация,Мобильді мәзір,NEEDS_REVIEW,
H-012,HEADER,(все страницы),src/components/layout/Header.tsx,Кнопка-CTA внутри мобильного меню,Конфигурировать стеллаж,Стеллажды конфигурациялау,NEEDS_REVIEW,"Терминология 2026-09-21: стеллаж (весь стеллаж) → «стеллаж», не «сөре»"
